Track URI,Track Name,Artist Name(s),Album Name,Album Release Date,Popularity,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1mwCSKK0YRDsgnj2VwyZSU,Butterfly Kisses,Bob Carlisle,Simply Bob Carlisle,1995-06-15,55,,0.386,0.364,0.0,-9.624,1.0,0.032,0.541,0.0,0.347,0.104,81.895,4.0
spotify:track:4yoPGbCMNFqv2MAafUOo8I,Last One Standing,Girl Thing,Girl Thing,2014-01-27,33,girl group,0.784,0.96,1.0,-3.941,0.0,0.0558,0.156,0.0434,0.205,0.858,102.001,4.0
spotify:track:61cH3Ou7shdOhyWoYKIpym,Mother Mother,Tracy Bonham,20 #1’s: Alternative Rock,2015-12-18,0,"boston rock,lilith",0.371,0.674,2.0,-5.498,1.0,0.0709,0.0135,0.0,0.208,0.551,174.567,4.0
spotify:track:5xMlTMjTEtFEJu7mlp0uDc,I Just Don't Know What To Do With Myself,Marcia Hines,The Essential,2007-07-28,15,"australian dance,australian pop,australian rock",0.363,0.741,0.0,-8.195,1.0,0.0456,0.0567,6.83e-06,0.294,0.465,96.453,4.0
spotify:track:5FBaWYaoA8j260ctveOa4a,New York,Ed Sheeran,x (Wembley Edition),2015-11-13,44,"pop,singer-songwriter pop,uk pop",0.728,0.461,6.0,-8.726,1.0,0.0395,0.707,0.0,0.113,0.474,86.014,4.0
spotify:track:2sZIclzhHlH8tzf7wry9hK,Harper Valley P.T.A.,Jeannie C. Riley,Harper Valley P.T.A. (The Plantation Recordings 1968-70),2013-09-30,55,classic country pop,0.795,0.448,4.0,-13.427,1.0,0.0444,0.629,0.0,0.0659,0.96,122.318,4.0
spotify:track:7Dm3dV3WPNdTgxoNY7YFnc,The Chain - 2004 Remaster,Fleetwood Mac,Rumours,1977-02-04,67,"album rock,classic rock,rock,soft rock,yacht rock",0.522,0.755,9.0,-6.95,1.0,0.0524,0.0517,6.63e-05,0.0781,0.637,151.796,4.0
spotify:track:0It6VJoMAare1zdV2wxqZq,Undisclosed Desires,Muse,The Resistance,2009-09-10,70,"modern rock,permanent wave,rock",0.683,0.585,8.0,-6.76,1.0,0.0323,0.00819,0.0162,0.0797,0.641,115.997,4.0
spotify:track:7oAly6qQFPu1JhmlE2Vujg,This Is Heaven,Nick Jonas,This Is Heaven,2021-03-04,0,"dance pop,pop",0.646,0.783,2.0,-4.801,0.0,0.0543,0.0372,0.0,0.0897,0.51,100.912,4.0
spotify:track:7ilS0BPWS8ek2P2GaxH3cP,When We Were Young,Adele,When We Were Young,2016-02-05,0,"british soul,pop,pop soul,uk pop",0.377,0.595,3.0,-5.936,1.0,0.0489,0.303,0.0,0.095,0.264,144.464,4.0
